L,snr,bayes_acc,snr_exact,method,fdp,tpp
5,0.1,0.4273075783927172,0.0999999999999731,AD-AFS-Multinom-T-Rex,0.0015,0.0052
5,0.1,0.4273075783927172,0.0999999999999731,VD-AFS-Multinom-T-Rex,0.0005,0.0058
5,0.1,0.4273075783927172,0.0999999999999731,VD-AFS-Gauss (ordinal),0.0,0.0006
5,0.1,0.4273075783927172,0.0999999999999731,MX-Knockoff-Multinom,0.0043584415584415,0.002
5,0.25,0.5272743384920602,0.2499999999991817,AD-AFS-Multinom-T-Rex,0.0245785714285714,0.3367999999999999
5,0.25,0.5272743384920602,0.2499999999991817,VD-AFS-Multinom-T-Rex,0.0277753968253968,0.3322
5,0.25,0.5272743384920602,0.2499999999991817,VD-AFS-Gauss (ordinal),0.0048333333333333,0.0162
5,0.25,0.5272743384920602,0.2499999999991817,MX-Knockoff-Multinom,0.0488746784616349,0.1564
5,0.4,0.5920038448729494,0.3999999999997821,AD-AFS-Multinom-T-Rex,0.0252343434343434,0.7702
5,0.4,0.5920038448729494,0.3999999999997821,VD-AFS-Multinom-T-Rex,0.0256296536796536,0.7742
5,0.4,0.5920038448729494,0.3999999999997821,VD-AFS-Gauss (ordinal),0.0083333333333333,0.068
5,0.4,0.5920038448729494,0.3999999999997821,MX-Knockoff-Multinom,0.0841965201465201,0.477
5,0.5,0.625136593656383,0.4999999999993881,AD-AFS-Multinom-T-Rex,0.0252604617604617,0.8956000000000001
5,0.5,0.625136593656383,0.4999999999993881,VD-AFS-Multinom-T-Rex,0.0268295093795093,0.8958
5,0.5,0.625136593656383,0.4999999999993881,VD-AFS-Gauss (ordinal),0.0095666666666666,0.1137999999999999
5,0.5,0.625136593656383,0.4999999999993881,MX-Knockoff-Multinom,0.0793014322279028,0.629
5,1.0,0.7306790516946968,1.0000000000017246,AD-AFS-Multinom-T-Rex,0.0216242424242424,0.9976
5,1.0,0.7306790516946968,1.0000000000017246,VD-AFS-Multinom-T-Rex,0.0229272727272727,0.9978
5,1.0,0.7306790516946968,1.0000000000017246,VD-AFS-Gauss (ordinal),0.0203,0.2785999999999999
5,1.0,0.7306790516946968,1.0000000000017246,MX-Knockoff-Multinom,0.084134754461225,0.9484
5,2.0,0.8260432149577073,1.99999999999832,AD-AFS-Multinom-T-Rex,0.0232191142191142,1.0
5,2.0,0.8260432149577073,1.99999999999832,VD-AFS-Multinom-T-Rex,0.0223939393939393,1.0
5,2.0,0.8260432149577073,1.99999999999832,VD-AFS-Gauss (ordinal),0.0165,0.3091999999999999
5,2.0,0.8260432149577073,1.99999999999832,MX-Knockoff-Multinom,0.0811466376760494,0.996
