L,snr,snr_exact,prev_eff,method,fdp,tpp
5,0.1,0.0999999999998398,0.5014466666666667,AD-AFS-Log-T-Rex,0.0,0.0004
5,0.1,0.0999999999998398,0.5014466666666667,VD-AFS-Log-T-Rex,0.0,0.0004
5,0.1,0.0999999999998398,0.5014466666666667,VD-AFS-Gauss,0.001,0.0006
5,0.1,0.0999999999998398,0.5014466666666667,MX-Knockoff-Log,0.0,0.0
5,0.25,0.250000000000399,0.5003133333333334,AD-AFS-Log-T-Rex,0.0043333333333333,0.008
5,0.25,0.250000000000399,0.5003133333333334,VD-AFS-Log-T-Rex,0.0013333333333333,0.0066
5,0.25,0.250000000000399,0.5003133333333334,VD-AFS-Gauss,0.004,0.0064
5,0.25,0.250000000000399,0.5003133333333334,MX-Knockoff-Log,0.0052363636363636,0.005
5,0.5,0.5000000000000232,0.5007333333333333,AD-AFS-Log-T-Rex,0.0119857142857142,0.1308
5,0.5,0.5000000000000232,0.5007333333333333,VD-AFS-Log-T-Rex,0.0125857142857142,0.1304
5,0.5,0.5000000000000232,0.5007333333333333,VD-AFS-Gauss,0.0103333333333333,0.131
5,0.5,0.5000000000000232,0.5007333333333333,MX-Knockoff-Log,0.0389861295567177,0.0758
5,1.0,1.0000000000001663,0.5003466666666667,AD-AFS-Log-T-Rex,0.0159233044733044,0.6527999999999999
5,1.0,1.0000000000001663,0.5003466666666667,VD-AFS-Log-T-Rex,0.0143856587856587,0.6663999999999999
5,1.0,1.0000000000001663,0.5003466666666667,VD-AFS-Gauss,0.015617316017316,0.6741999999999999
5,1.0,1.0000000000001663,0.5003466666666667,MX-Knockoff-Log,0.0707884644766997,0.3813999999999999
5,2.0,2.000000000003267,0.4994466666666666,AD-AFS-Log-T-Rex,0.0210141414141414,0.9922
5,2.0,2.000000000003267,0.4994466666666666,VD-AFS-Log-T-Rex,0.0188080031080031,0.9892
5,2.0,2.000000000003267,0.4994466666666666,VD-AFS-Gauss,0.0258261072261072,0.982
5,2.0,2.000000000003267,0.4994466666666666,MX-Knockoff-Log,0.0848498230527642,0.8512000000000001
5,4.0,4.000000000003643,0.5004866666666666,AD-AFS-Log-T-Rex,0.0202979020979021,0.9998
5,4.0,4.000000000003643,0.5004866666666666,VD-AFS-Log-T-Rex,0.0213168831168831,0.9998
5,4.0,4.000000000003643,0.5004866666666666,VD-AFS-Gauss,0.0271463869463869,0.9982
5,4.0,4.000000000003643,0.5004866666666666,MX-Knockoff-Log,0.0864460709225415,0.9674
